 frequency       vdb(2)          vp(2)          
 2.18776162e+01 -8.31406027e-05 -4.37535943e-03 
 2.23872114e+01 -8.70588593e-05 -4.47727330e-03 
 2.29086765e+01 -9.11617738e-05 -4.58156095e-03 
 2.34422882e+01 -9.54580487e-05 -4.68827767e-03 
 2.39883292e+01 -9.99567961e-05 -4.79748002e-03 
 2.45470892e+01 -1.04667558e-04 -4.90922591e-03 
 2.51188643e+01 -1.09600326e-04 -5.02357457e-03 
 2.57039578e+01 -1.14765562e-04 -5.14058662e-03 
 2.63026799e+01 -1.20174221e-04 -5.26032408e-03 
 2.69153480e+01 -1.25837776e-04 -5.38285043e-03 
 2.75422870e+01 -1.31768237e-04 -5.50823061e-03 
 2.81838293e+01 -1.37978185e-04 -5.63653110e-03 
 2.88403150e+01 -1.44480788e-04 -5.76781990e-03 
 2.95120923e+01 -1.51289839e-04 -5.90216660e-03 
 3.01995172e+01 -1.58419779e-04 -6.03964241e-03 
 3.09029543e+01 -1.65885731e-04 -6.18032022e-03 
 3.16227766e+01 -1.73703528e-04 -6.32427457e-03 
 3.23593657e+01 -1.81889752e-04 -6.47158179e-03 
 3.31131121e+01 -1.90461764e-04 -6.62231993e-03 
 3.38844156e+01 -1.99437744e-04 -6.77656891e-03 
 3.46736850e+01 -2.08836730e-04 -6.93441048e-03 
 3.54813389e+01 -2.18678654e-04 -7.09592829e-03 
 3.63078055e+01 -2.28984389e-04 -7.26120794e-03 
 3.71535229e+01 -2.39775793e-04 -7.43033705e-03 
 3.80189396e+01 -2.51075752e-04 -7.60340524e-03 
 3.89045145e+01 -2.62908229e-04 -7.78050423e-03 
 3.98107171e+01 -2.75298319e-04 -7.96172789e-03 
 4.07380278e+01 -2.88272299e-04 -8.14717224e-03 
 4.16869383e+01 -3.01857682e-04 -8.33693557e-03 
 4.26579519e+01 -3.16083278e-04 -8.53111843e-03 
 4.36515832e+01 -3.30979257e-04 -8.72982372e-03 
 4.46683592e+01 -3.46577206e-04 -8.93315674e-03 
 4.57088190e+01 -3.62910204e-04 -9.14122524e-03 
 4.67735141e+01 -3.80012887e-04 -9.35413945e-03 
 4.78630092e+01 -3.97921522e-04 -9.57201219e-03 
 4.89778819e+01 -4.16674086e-04 -9.79495889e-03 
 5.01187234e+01 -4.36310344e-04 -1.00230977e-02 
 5.12861384e+01 -4.56871936e-04 -1.02565494e-02 
 5.24807460e+01 -4.78402461e-04 -1.04954378e-02 
 5.37031796e+01 -5.00947574e-04 -1.07398894e-02 
 5.49540874e+01 -5.24555080e-04 -1.09900336e-02 
 5.62341325e+01 -5.49275036e-04 -1.12460031e-02 
 5.75439937e+01 -5.75159857e-04 -1.15079333e-02 
 5.88843655e+01 -6.02264426e-04 -1.17759630e-02 
 6.02559586e+01 -6.30646214e-04 -1.20502341e-02 
 6.16595002e+01 -6.60365394e-04 -1.23308920e-02 
 6.30957344e+01 -6.91484979e-04 -1.26180852e-02 
 6.45654229e+01 -7.24070946e-04 -1.29119659e-02 
 6.60693448e+01 -7.58192380e-04 -1.32126896e-02 
 6.76082975e+01 -7.93921620e-04 -1.35204156e-02 
 6.91830971e+01 -8.31334412e-04 -1.38353068e-02 
 7.07945784e+01 -8.70510069e-04 -1.41575300e-02 
 7.24435960e+01 -9.11531640e-04 -1.44872556e-02 
 7.41310241e+01 -9.54486082e-04 -1.48246582e-02 
 7.58577575e+01 -9.99464450e-04 -1.51699165e-02 
 7.76247117e+01 -1.04656208e-03 -1.55232132e-02 
 7.94328235e+01 -1.09587881e-03 -1.58847351e-02 
 8.12830516e+01 -1.14751917e-03 -1.62546737e-02 
 8.31763771e+01 -1.20159260e-03 -1.66332246e-02 
 8.51138038e+01 -1.25821371e-03 -1.70205883e-02 
 8.70963590e+01 -1.31750250e-03 -1.74169694e-02 
 8.91250938e+01 -1.37958462e-03 -1.78225778e-02 
 9.12010839e+01 -1.44459163e-03 -1.82376280e-02 
 9.33254301e+01 -1.51266128e-03 -1.86623394e-02 
 9.54992586e+01 -1.58393781e-03 -1.90969367e-02 
 9.77237221e+01 -1.65857225e-03 -1.95416495e-02 
 1.00000000e+02 -1.73672272e-03 -1.99967131e-02 
 1.02329299e+02 -1.81855481e-03 -2.04623678e-02 
 1.04712855e+02 -1.90424187e-03 -2.09388599e-02 
 1.07151931e+02 -1.99396542e-03 -2.14264410e-02 
 1.09647820e+02 -2.08791553e-03 -2.19253688e-02 
 1.12201845e+02 -2.18629120e-03 -2.24359068e-02 
 1.14815362e+02 -2.28930077e-03 -2.29583247e-02 
 1.17489755e+02 -2.39716243e-03 -2.34928983e-02 
 1.20226443e+02 -2.51010457e-03 -2.40399098e-02 
 1.23026877e+02 -2.62836636e-03 -2.45996479e-02 
 1.25892541e+02 -2.75219821e-03 -2.51724081e-02 
 1.28824955e+02 -2.88186229e-03 -2.57584924e-02 
 1.31825674e+02 -3.01763310e-03 -2.63582100e-02 
 1.34896288e+02 -3.15979804e-03 -2.69718773e-02 
 1.38038426e+02 -3.30865803e-03 -2.75998177e-02 
 1.41253754e+02 -3.46452809e-03 -2.82423621e-02 
 1.44543977e+02 -3.62773810e-03 -2.88998491e-02 
 1.47910839e+02 -3.79863338e-03 -2.95726252e-02 
 1.51356125e+02 -3.97757549e-03 -3.02610444e-02 
 1.54881662e+02 -4.16494299e-03 -3.09654693e-02 
 1.58489319e+02 -4.36113219e-03 -3.16862706e-02 
 1.62181010e+02 -4.56655799e-03 -3.24238273e-02 
 1.65958691e+02 -4.78165481e-03 -3.31785274e-02 
 1.69824365e+02 -5.00687740e-03 -3.39507676e-02 
 1.73780083e+02 -5.24270189e-03 -3.47409537e-02 
 1.77827941e+02 -5.48962673e-03 -3.55495006e-02 
 1.81970086e+02 -5.74817372e-03 -3.63768328e-02 
 1.86208714e+02 -6.01888916e-03 -3.72233845e-02 
 1.90546072e+02 -6.30234495e-03 -3.80895997e-02 
 1.94984460e+02 -6.59913976e-03 -3.89759324e-02 
 1.99526231e+02 -6.90990035e-03 -3.98828470e-02 
 2.04173794e+02 -7.23528280e-03 -4.08108184e-02 
 2.08929613e+02 -7.57597393e-03 -4.17603322e-02 
 2.13796209e+02 -7.93269269e-03 -4.27318851e-02 
 2.18776162e+02 -8.30619169e-03 -4.37259847e-02 
 2.23872114e+02 -8.69725873e-03 -4.47431504e-02 
 2.29086765e+02 -9.10671845e-03 -4.57839130e-02 
 2.34422882e+02 -9.53543404e-03 -4.68488153e-02 
 2.39883292e+02 -9.98430902e-03 -4.79384122e-02 
 2.45470892e+02 -1.04542891e-02 -4.90532712e-02 
 2.51188643e+02 -1.09463642e-02 -5.01939723e-02 
 2.57039578e+02 -1.14615703e-02 -5.13611084e-02 
 2.63026799e+02 -1.20009918e-02 -5.25552856e-02 
 2.69153480e+02 -1.25657636e-02 -5.37771234e-02 
 2.75422870e+02 -1.31570736e-02 -5.50272551e-02 
 2.81838293e+02 -1.37761650e-02 -5.63063278e-02 
 2.88403150e+02 -1.44243386e-02 -5.76150031e-02 
 2.95120923e+02 -1.51029561e-02 -5.89539567e-02 
 3.01995172e+02 -1.58134421e-02 -6.03238796e-02 
